"FIPS","STNAME","CTYNAME","AGEGRP","AGE_GROUP","TOT_POP","NH_POP","H_POP","WA_POP","BA_POP","AA_POP","NA_POP","TOT_MALE","NH_MALE","H_MALE","WA_MALE","BA_MALE","AA_MALE","NA_MALE","TOT_FEMALE","WA_FEMALE","BA_FEMALE","AA_FEMALE","NA_FEMALE","NH_FEMALE","H_FEMALE","high_number","WA_MH"
42067,"Pennsylvania","Juniata County",0,"Total",24704,23715,989,23976,207,141,4,12385,11821,564,12022,120,40,2,12319,11954,87,101,2,11894,425,0,9706.90351231328
42069,"Pennsylvania","Lackawanna County",0,"Total",210793,193713,17080,191234,8286,6686,122,102330,93743,8587,92264,4532,3304,55,108463,98970,3754,3382,67,99970,8493,1,9016.31974982898
42071,"Pennsylvania","Lancaster County",0,"Total",543557,484796,58761,487891,28159,13433,565,266316,236967,29349,238332,14492,6360,278,277241,249559,13667,7073,287,247829,29412,1,8949.21822196188
42073,"Pennsylvania","Lawrence County",0,"Total",86184,84868,1316,80143,3734,403,17,41712,41025,687,38770,1852,157,8,44472,41373,1882,246,9,43843,629,1,9294.68738013042
42075,"Pennsylvania","Lebanon County",0,"Total",141314,121838,19476,131077,5166,2201,93,69449,59605,9844,64246,2828,931,46,71865,66831,2338,1270,47,62233,9632,1,9250.8171463952
42077,"Pennsylvania","Lehigh County",0,"Total",368100,274579,93521,304675,35710,14003,595,180188,133291,46897,148815,17765,6828,303,187912,155860,17945,7175,292,141288,46624,1,8258.87406486558
42079,"Pennsylvania","Luzerne County",0,"Total",317646,276764,40882,284998,19992,4436,276,157145,136250,20895,139717,11265,2015,155,160501,145281,8727,2421,121,140514,19987,1,8890.9605778103
42081,"Pennsylvania","Lycoming County",0,"Total",113664,111315,2349,104689,5409,732,50,55665,54520,1145,51439,2506,340,28,57999,53250,2903,392,22,56795,1204,1,9240.81559328124
42083,"Pennsylvania","McKean County",0,"Total",40968,40075,893,39027,1042,260,2,21054,20416,638,19693,895,138,1,19914,19334,147,122,1,19659,255,0,9353.56701814382
42085,"Pennsylvania","Mercer County",0,"Total",110683,108960,1723,101015,6489,857,27,54732,53762,970,49675,3569,370,11,55951,51340,2920,487,16,55198,753,1,9076.04326536578
42087,"Pennsylvania","Mifflin County",0,"Total",46222,45456,766,44882,433,285,16,22636,22245,391,21923,257,143,6,23586,22959,176,142,10,23211,375,1,9685.01502032161
42089,"Pennsylvania","Monroe County",0,"Total",169507,141389,28118,131531,27448,4523,230,83972,69920,14052,65234,13625,2136,117,85535,66297,13823,2387,113,71469,14066,1,7768.54189491735
42091,"Pennsylvania","Montgomery County",0,"Total",828604,784500,44104,659437,82004,66492,528,403268,380506,22762,321022,40078,32094,270,425336,338415,41926,34398,258,403994,21342,1,7960.51261196028
42093,"Pennsylvania","Montour County",0,"Total",18240,17705,535,17043,327,613,6,8814,8550,264,8166,204,297,3,9426,8877,123,316,3,9155,271,1,9264.80599046971
42095,"Pennsylvania","Northampton County",0,"Total",304807,262601,42206,265611,21243,9254,352,149954,128905,21049,130271,10805,4587,184,154853,135340,10438,4667,168,133696,21157,1,8687.39746855702
42097,"Pennsylvania","Northumberland County",0,"Total",91083,87804,3279,86668,2526,427,30,45782,44037,1745,42884,1945,190,14,45301,43784,581,237,16,43767,1534,0,9367.00013105587
42099,"Pennsylvania","Perry County",0,"Total",46139,45159,980,44666,501,238,25,23328,22826,502,22507,337,105,9,22811,22159,164,133,16,22333,478,0,9648.06241426612
42101,"Pennsylvania","Philadelphia County",0,"Total",1584138,1343869,240269,709048,692593,122911,2495,749572,630340,119232,347244,315995,58182,1195,834566,361804,376598,64729,1300,713529,121037,1,4632.56364965607
42103,"Pennsylvania","Pike County",0,"Total",55933,49540,6393,49943,3659,926,26,28368,25153,3215,25384,1905,349,10,27565,24559,1754,577,16,24387,3178,0,8948.11054709532
42105,"Pennsylvania","Potter County",0,"Total",16622,16396,226,16214,121,64,1,8285,8172,113,8069,73,19,1,8337,8145,48,45,0,8224,113,1,9739.28786964393
42107,"Pennsylvania","Schuylkill County",0,"Total",142067,135280,6787,133931,4991,845,73,72796,68835,3961,67226,3896,378,41,69271,66705,1095,467,32,66445,2826,0,9234.8480685752
42109,"Pennsylvania","Snyder County",0,"Total",40540,39569,971,39188,559,295,16,20092,19587,505,19403,320,124,13,20448,19785,239,171,3,19982,466,1,9657.07744375871
42111,"Pennsylvania","Somerset County",0,"Total",73952,72804,1148,70584,2223,415,23,38648,37839,809,35982,2123,184,6,35304,34602,100,231,17,34965,339,0,9310.18422686814
42113,"Pennsylvania","Sullivan County",0,"Total",6071,5953,118,5718,233,24,0,3176,3095,81,2932,185,10,0,2895,2786,48,14,0,2858,37,0,9231.73803526448
42115,"Pennsylvania","Susquehanna County",0,"Total",40589,39894,695,39661,249,148,28,20465,20097,368,20011,131,69,9,20124,19650,118,79,19,19797,327,0,9778.15783044222
42117,"Pennsylvania","Tioga County",0,"Total",40763,40216,547,39626,321,208,7,20229,19959,270,19667,163,71,4,20534,19959,158,137,3,20257,277,1,9722.18102723812
42119,"Pennsylvania","Union County",0,"Total",44785,42094,2691,39895,3169,814,31,24342,22238,2104,20522,2832,428,21,20443,19373,337,386,10,19856,587,0,8430.69591652288
42121,"Pennsylvania","Venango County",0,"Total",51266,50706,560,49662,593,231,22,25342,25039,303,24447,401,93,8,25924,25215,192,138,14,25667,257,1,9646.8313471707
42123,"Pennsylvania","Warren County",0,"Total",39498,39042,456,38595,208,195,24,19770,19526,244,19319,130,73,15,19728,19276,78,122,9,19516,212,0,9771.8765806778
42125,"Pennsylvania","Washington County",0,"Total",207346,203717,3629,193767,6849,2422,71,101855,99900,1955,94950,3611,1148,34,105491,98817,3238,1274,37,103817,1674,1,9322.07549948456
42127,"Pennsylvania","Wayne County",0,"Total",51276,48876,2400,48357,1785,350,16,27158,25686,1472,25041,1533,154,10,24118,23316,252,196,6,23190,928,0,9220.48751749024
42129,"Pennsylvania","Westmoreland County",0,"Total",350611,346260,4351,332230,9010,3419,93,171509,169233,2276,162034,4836,1600,52,179102,170196,4174,1819,41,177027,2075,1,9447.55085738941
42131,"Pennsylvania","Wyoming County",0,"Total",27046,26531,515,26286,268,131,4,13571,13278,293,13167,158,56,1,13475,13119,110,75,3,13253,222,0,9702.3063886228
42133,"Pennsylvania","York County",0,"Total",448273,412824,35449,398210,31206,6849,327,221618,203402,18216,196670,15869,3049,161,226655,201540,15337,3800,166,209422,17233,1,8874.27916504977
